cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [ml/s],AoP/Flow,AoP/LVP,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],,,,
0.00,0.000,0.476,0.546,80.811,37.579,25.123,3.217,2.150,0.606238,0.725806,0.941203,,,,
0.01,0.007,0.483,-0.865,80.171,44.373,25.123,3.191,1.807,0.605752,0.725057,0.940395,,,,
0.03,0.013,0.489,-0.611,79.532,53.715,24.631,3.229,1.481,0.607646,0.724309,0.935799,,,,
0.04,0.020,0.496,0.588,80.811,72.186,25.616,3.155,1.119,0.606622,0.719497,0.922839,,,,
0.05,0.027,0.503,0.61,93.178,100.000,29.064,3.206,0.932,0.600608,0.71653,0.920329,,,,
0.06,0.034,0.509,0.596,108.103,117.409,33.498,3.227,0.921,0.600179,0.718473,0.915747,,,,
0.08,0.040,0.516,0.646,113.647,123.566,37.439,3.036,0.920,0.597373,0.719567,0.913221,,,,
0.09,0.047,0.523,0.653,112.367,123.354,36.946,3.041,0.911,0.595043,0.722566,0.908286,,,,
0.10,0.054,0.530,0.663,110.448,120.806,35.468,3.114,0.914,0.592894,0.719748,0.902365,,,,
0.12,0.060,0.536,0.671,110.022,118.683,33.498,3.284,0.927,0.590625,0.719147,0.894971,,,,
0.13,0.067,0.543,0.653,111.301,117.409,33.005,3.372,0.948,0.589412,0.718726,0.889002,,,,
0.14,0.074,0.550,0.671,111.728,116.772,33.498,3.335,0.957,0.58597,0.71902,0.884346,,,,
0.16,0.080,0.556,0.649,111.941,116.985,33.990,3.293,0.957,0.583526,0.719176,0.879999,,,,
0.17,0.087,0.563,0.646,112.581,116.772,33.498,3.361,0.964,0.58039,0.718765,0.878699,,,,
0.18,0.094,0.570,0.642,113.007,116.985,33.005,3.424,0.966,0.576072,0.717106,0.874707,,,,
0.19,0.101,0.576,0.628,113.860,116.985,33.005,3.450,0.973,0.572364,0.716586,0.872749,,,,
0.21,0.107,0.583,0.642,113.647,116.135,32.513,3.495,0.979,0.568995,0.716359,0.869674,,,,
0.22,0.114,0.590,0.631,115.139,115.923,33.005,3.489,0.993,0.564376,0.715351,0.866832,,,,
0.23,0.121,0.597,0.638,114.713,115.711,32.513,3.528,0.991,0.560162,0.715171,0.864503,,,,
0.25,0.127,0.603,0.638,117.485,115.923,33.498,3.507,1.013,0.556628,0.716042,0.862677,,,,
0.26,0.134,0.610,0.628,117.698,116.348,33.990,3.463,1.012,0.553693,0.716794,0.850353,,,,
0.27,0.141,0.617,0.649,118.124,116.560,34.483,3.426,1.013,0.544837,0.721022,0.848749,,,,
0.29,0.147,0.623,0.635,118.551,116.772,34.976,3.389,1.015,0.541492,0.721638,0.84841,,,,
0.30,0.154,0.630,0.646,119.191,116.985,34.976,3.408,1.019,0.538654,0.72165,0.84768,,,,
0.31,0.161,0.637,0.653,119.617,117.197,34.976,3.420,1.021,0.535992,0.722553,0.847142,,,,
0.32,0.168,0.644,0.646,119.404,117.197,34.483,3.463,1.019,0.533033,0.722893,0.846873,,,,
0.34,0.174,0.650,0.667,118.338,116.560,34.483,3.432,1.015,0.531107,0.722909,0.846031,,,,
0.35,0.181,0.657,0.66,117.698,115.499,33.990,3.463,1.019,0.529381,0.723124,0.845391,,,,
0.36,0.188,0.664,0.688,116.419,113.800,33.498,3.475,1.023,0.527366,0.723301,0.844863,,,,
0.38,0.194,0.670,0.706,114.926,111.889,33.005,3.482,1.027,0.526085,0.723635,0.84234,,,,
0.39,0.201,0.677,0.724,113.220,109.554,32.020,3.536,1.033,0.524737,0.724117,0.841246,,,,
0.40,0.208,0.684,0.756,111.088,106.581,31.527,3.524,1.042,0.524099,0.723746,0.839092,,,,
0.42,0.215,0.690,0.738,108.956,103.821,31.035,3.511,1.049,0.523882,0.723252,0.838095,,,,
0.43,0.221,0.697,0.735,106.611,100.212,30.542,3.491,1.064,0.522963,0.722619,0.836729,,,,
0.44,0.228,0.704,0.717,104.265,95.541,29.557,3.528,1.091,0.523119,0.721594,0.835811,,,,
0.45,0.235,0.711,0.703,101.280,88.959,28.572,3.545,1.139,0.523371,0.720433,0.836192,,,,
0.47,0.241,0.717,0.717,97.229,80.254,27.587,3.524,1.212,0.525107,0.719911,0.836063,,,,
0.48,0.248,0.724,0.706,101.706,68.577,30.542,3.330,1.483,0.527522,0.722071,0.838598,,,,
0.49,0.255,0.731,0.713,103.625,57.112,32.513,3.187,1.814,0.528323,0.723485,0.840354,,,,
0.51,0.261,0.737,0.706,102.133,46.921,34.483,2.962,2.177,0.530111,0.72229,0.841104,,,,
0.52,0.268,0.744,0.71,101.706,39.066,33.990,2.992,2.603,0.532098,0.720933,0.842312,,,,
0.53,0.275,0.751,0.713,102.133,32.059,33.990,3.005,3.186,0.534915,0.720486,0.843708,,,,
0.55,0.282,0.757,0.703,101.706,26.539,33.990,2.992,3.832,0.537961,0.719263,0.846583,,,,
0.56,0.288,0.764,0.717,101.706,22.293,33.498,3.036,4.562,0.542303,0.718029,0.851066,,,,
0.57,0.295,0.771,0.71,101.493,18.896,32.513,3.122,5.371,0.547868,0.717562,0.855787,,,,
0.58,0.302,0.778,0.696,101.067,16.560,31.035,3.257,6.103,0.55432,0.72013,0.86811,,,,
0.60,0.308,0.784,0.713,100.214,14.225,29.557,3.391,7.045,0.563237,0.725082,0.884082,,,,
0.61,0.315,0.791,0.692,100.001,12.526,28.572,3.500,7.983,0.571515,0.728779,0.899038,,,,
0.62,0.322,0.798,0.71,99.361,11.677,28.079,3.539,8.509,0.586656,0.729782,0.909808,,,,
0.64,0.328,0.804,0.706,98.935,11.252,28.572,3.463,8.793,0.597693,0.731205,0.918628,,,,
0.65,0.335,0.811,0.685,98.508,12.102,28.572,3.448,8.140,0.602797,0.731896,0.921212,,,,
0.66,0.342,0.818,0.703,97.655,11.677,30.050,3.250,8.363,0.604377,0.732046,0.925008,,,,
0.68,0.349,0.824,0.678,97.442,12.951,30.050,3.243,7.524,0.607095,0.735319,0.930539,,,,
0.69,0.355,0.831,0.685,97.229,14.012,30.542,3.183,6.939,0.609353,0.736549,0.93655,,,,
0.70,0.362,0.838,0.685,97.016,15.074,30.542,3.176,6.436,0.610561,0.73604,0.941153,,,,
0.71,0.369,0.845,0.671,96.802,16.136,31.035,3.119,5.999,0.611374,0.736499,0.944816,,,,
0.73,0.375,0.851,0.685,96.163,16.348,31.527,3.050,5.882,0.611783,0.73503,0.946769,,,,
0.74,0.382,0.858,0.667,95.736,16.773,32.020,2.990,5.708,0.61157,0.734681,0.944346,,,,
0.75,0.389,0.865,0.667,94.457,17.197,31.527,2.996,5.493,0.610314,0.733558,0.944105,,,,
0.77,0.395,0.871,0.671,93.178,17.197,31.035,3.002,5.418,0.609653,0.734597,0.943388,,,,
0.78,0.402,0.878,0.66,92.325,16.773,30.542,3.023,5.504,0.609987,0.735167,0.943492,,,,
0.79,0.409,0.885,0.671,91.685,16.348,30.542,3.002,5.608,0.608696,0.734898,0.944369,,,,
0.81,0.416,0.892,0.642,91.472,16.560,30.542,2.995,5.524,0.609487,0.735689,0.945785,,,,
0.82,0.422,0.898,0.61,91.045,16.560,30.050,3.030,5.498,0.60872,0.73635,0.946167,,,,
0.83,0.429,0.905,0.56,90.406,16.773,29.557,3.059,5.390,0.608448,0.735405,0.946274,,,,
0.84,0.436,0.912,0.506,89.766,16.773,29.064,3.089,5.352,0.608457,0.735713,0.946412,,,,
0.86,0.442,0.918,0.531,89.126,17.197,29.064,3.067,5.183,0.607753,0.734883,0.946775,,,,
0.87,0.449,0.925,0.596,88.913,18.259,29.064,3.059,4.870,0.60742,0.734069,0.946392,,,,
0.88,0.456,0.932,0.681,88.700,19.320,29.064,3.052,4.591,0.607507,0.733476,0.945651,,,,
0.90,0.463,0.938,0.692,88.274,21.019,28.572,3.090,4.200,0.607902,0.733434,0.946897,,,,
0.91,0.469,0.945,0.688,87.421,22.930,28.079,3.113,3.813,0.6086,0.731669,0.945459,,,,
0.92,0.476,0.952,0.706,86.568,25.053,27.587,3.138,3.455,0.607938,0.732397,0.945198,,,,
0.94,0.483,0.959,0.674,85.928,27.601,27.094,3.171,3.113,0.608405,0.732033,0.94398,,,,
0.95,0.489,0.965,0.696,85.502,29.936,27.094,3.156,2.856,0.6088,0.732695,0.944622,,,,
0.96,0.496,0.972,0.735,84.862,31.847,26.601,3.190,2.665,0.609755,0.732243,0.943549,,,,
0.97,0.503,0.979,1.074,83.583,33.333,26.109,3.201,2.508,0.60913,0.729768,0.943702,,,,
0.99,0.509,0.985,1.338,82.090,34.395,25.616,3.205,2.387,0.607732,0.727189,0.940691,,,,
1.00,0.516,0.992,0.653,81.237,37.579,25.123,3.234,2.162,0.606622,0.725398,0.942033,,,,